NumberOfRows	optimal.cex
2	3.6
3	3.6
4	3.6
5	3.6
6	3.0
7	2.5
8	2.3
9	2.0
10	1.7
11	1.7
12	1.7
13	1.7
14	1.7
15	1.5
16	1.5
17	1.5
18	1.5
19	1.5
20	1.5
21	1.3
22	1.3
23	1.3
24	1.3
25	1.3
26	1.2
27	1.2
28	1.1
29	1.1
30	1.0
31	1.0
32	1.0
33	1.0
34	1.0
35	1.0
36	0.9
37	0.9
38	0.9
39	0.9
40	0.9
41	0.8
42	0.8
43	0.8
44	0.8
45	0.8
46	0.7
47	0.7
48	0.7
49	0.7
50	0.7
51	0.7
52	0.7
53	0.7
54	0.7
55	0.7
56	0.6
57	0.6
58	0.6
59	0.6
60	0.6
61	0.5
62	0.5
63	0.5
64	0.5
65	0.5
66	0.5
67	0.5
68	0.5
69	0.5
70	0.5
71	0.5
72	0.5
73	0.5
74	0.5
75	0.5
76	0.5
77	0.5
78	0.5
79	0.5
80	0.5
81	0.45
82	0.45
83	0.45
84	0.45
85	0.45
86	0.45
87	0.45
88	0.45
89	0.45
90	0.45
91	0.4
92	0.4
93	0.4
94	0.4
95	0.4
96	0.4
97	0.4
98	0.4
99	0.4
100	0.4
